title,condition_0_conditionDisplayName,discountPriceInfo_0_originalRetailPrice_0___value__,isMultiVariationListing,listingInfo_0_watchCount,primaryCategory_0_categoryName,returnsAccepted,sellingStatus_0_convertedCurrentPrice_0___value__,shippingInfo_0_handlingTime,shippingInfo_0_oneDayShippingAvailable,shippingInfo_0_shippingServiceCost_0___value__,topRatedListing,Discount_amount,DiscountPercentage
"['Acer Aspire 3 - 15.6"" Laptop AMD Ryzen 7 5700U 1.80GHz 16GB RAM 512GB SSD W11H']",['Used'],599.99,['false'],['101'],['PC Laptops & Netbooks'],['true'],261.43,['3'],['false'],0.0,['false'],338.56,56.42760712678545
"['SGIN 15.6"" FHD Laptop Intel Celeron Quad-Core with 12GB Memory 1024GB eMMC 1080P']",['New'],209.0,['false'],['388'],['PC Laptops & Netbooks'],['true'],209.0,['3'],['true'],0.0,['false'],0.0,0.0
['Dell Latitude 2-in-1 5289 Core i5-7200U 8GB RAM 256GB SSD Windows 11 Touchscreen'],['Used'],149.0,['false'],['319'],['PC Laptops & Netbooks'],['true'],149.0,['2'],['false'],0.0,['false'],0.0,0.0
"['HP 17.3"" FHD Notebook AMD Ryzen 5 7430U 8GB RAM 256GB SSD Natural Silver']",['New'],599.99,['false'],['1073'],['PC Laptops & Netbooks'],['true'],349.99,['2'],['false'],0.0,['false'],250.0,41.66736112268538
"['Acer Aspire 3 - 15.6"" Touchscreen Laptop AMD Ryzen 5 7520U 2.80GHz 16GB 1TB W11H']",['Certified - Refurbished'],499.99,['false'],['505'],['PC Laptops & Netbooks'],['true'],327.59,['3'],['false'],0.0,['false'],172.40000000000003,34.48068961379228
"['Lenovo chromebook 11.6"" Intel 1.60 GHz 4 GB RAM 16 GB eMMC Bluetooth Webcam SD']",['Very Good - Refurbished'],79.99,['true'],['1066'],['PC Laptops & Netbooks'],['true'],79.99,['1'],['false'],0.0,['true'],0.0,0.0
['Lenovo ThinkPad T14 Laptop 14” FHD Core i5-1135G7 32GB RAM 1TB SSD Windows 11'],['Excellent - Refurbished'],449.54,['false'],['280'],['PC Laptops & Netbooks'],['true'],449.54,['2'],['false'],0.0,['false'],0.0,0.0
"['Microsoft Surface Pro 5 1807 12.3"" i5-7300U 2.60GHz 8GB RAM 256GB SSD LTE W10P G']",['Good - Refurbished'],149.99,['false'],['187'],['PC Laptops & Netbooks'],['true'],149.99,['1'],['false'],0.0,['true'],0.0,0.0
"['Windows 11 PRO Laptop Notebook PC Computer, 8GB Ram, Webcam, Wifi, and HDMI']",['Used'],166.0,['false'],['1280'],['PC Laptops & Netbooks'],['true'],166.0,['1'],['false'],0.0,['false'],0.0,0.0
"['Acer Chromebook CB715-1W 15.6” (128GB SSD, Intel Core i3-8130U, 2.2GHz, 8GB RAM)']",['Used'],89.95,['false'],['21'],['PC Laptops & Netbooks'],['true'],89.95,['1'],['false'],0.0,['true'],0.0,0.0
"['Acer Aspire 3 - 15.6"" Laptop Intel Core i3-1215U 3.30GHz 8GB RAM 256GB SSD W11H']",['Certified - Refurbished'],399.99,['false'],['137'],['PC Laptops & Netbooks'],['true'],229.31,['1'],['false'],0.0,['true'],170.68,42.67106677666942
"['SGIN 17.3"" Laptop 8GB RAM 256GB SSD Celeron Quad-Core Up to 2.6GHz HD 1080P']",['New'],225.0,['false'],['100'],['PC Laptops & Netbooks'],['true'],225.0,['3'],['false'],0.0,['false'],0.0,0.0
['Dell Inspiron 15.6 Touchscreen Laptop Ryzen 7 7730U 16GB 512GB SSD i3535-A813BLK'],['Open box'],319.0,['false'],['61'],['PC Laptops & Netbooks'],['true'],319.0,['1'],['false'],0.0,['false'],0.0,0.0
"['HP Elitebook X360 1040 G6, 14"", i7-8665U, 16GB RAM, 512GB SSD, Touch, (Renewed)']",['Excellent - Refurbished'],3549.0,['false'],['343'],['PC Laptops & Netbooks'],['true'],310.0,['2'],['false'],0.0,['false'],3239.0,91.26514511129896
['HP Victus 15.6 144Hz Gaming Laptop Intel i7-13620H 16GB RAM 512GB SSD RTX 4060'],['New'],1299.99,['false'],['523'],['PC Laptops & Netbooks'],['true'],859.99,['2'],['false'],0.0,['false'],440.0,33.84641420318618
['ASUS C202 Chromebook Celeron N3060 1.6GHz 4GB RAM 16GB SSD w/charger'],['Used'],29.99,['false'],['2240'],['PC Laptops & Netbooks'],['true'],29.99,['1'],['false'],0.0,['true'],0.0,0.0
"['NEW HP 15.6"" Full HD Intel Core i3 8GB 256GB SSD Windows 11 Laptop Bundle']",['New'],479.99,['false'],['13011'],['PC Laptops & Netbooks'],['true'],299.99,['1'],['true'],0.0,['true'],180.0,37.50078126627638
"['HP - 14"" Chromebook Laptop - Intel Celeron - 4GB Memory - 64GB eMMC - Modern ...']",['New'],299.0,['false'],['86'],['PC Laptops & Netbooks'],['true'],299.0,['2'],['true'],0.0,['false'],0.0,0.0
"['Dell Latitude 5400 14"" Chromebook P98G005 w/Cel 2.20GHz/4GB/128GB - Used']",['Used'],39.0,['false'],['57'],['PC Laptops & Netbooks'],['true'],39.0,['1'],['false'],0.0,['false'],0.0,0.0
"['Lenovo Laptop PC Computer 11.6"" Intel Celeron Windows 10 4GB RAM 64GB SSD WiFi']",['Very Good - Refurbished'],82.62,['false'],['1720'],['PC Laptops & Netbooks'],['true'],82.62,['2'],['false'],0.0,['false'],0.0,0.0
"['SGIN 15.6"" Laptop 12GB RAM 512GB SSD Intel Celeron Quad-Core 1080P Up to 2.9 GHz']",['New'],189.0,['false'],['109'],['PC Laptops & Netbooks'],['true'],189.0,['3'],['false'],0.0,['false'],0.0,0.0
['Samsung Galaxy S21 5G SM-G991U 128GB 256GB Unlocked Very Good Refurbished'],['Very Good - Refurbished'],164.95,['true'],['1380'],['Cell Phones & Smartphones'],['true'],164.95,['1'],['true'],0.0,['true'],0.0,0.0
['BLU C5L Max (C0170WW) 16GB / 32GB (GSM Unlocked) Dual SIM Android Smartphone'],['Used'],30.99,['true'],['83'],['Cell Phones & Smartphones'],['true'],30.99,['0'],['false'],0.0,['true'],0.0,0.0
['Samsung Galaxy S21 Ultra 5G 128GB G998U Unlocked - Excellent'],['Excellent - Refurbished'],264.99,['true'],['3464'],['Cell Phones & Smartphones'],['true'],264.99,['0'],['false'],0.0,['true'],0.0,0.0
['Apple iPhone 8 - 64 GB - Space Gray (Unlocked)'],['Used'],67.5,['false'],['9'],['Cell Phones & Smartphones'],['true'],67.5,['1'],['false'],0.0,['true'],0.0,0.0
